Descr;RPS;Elapsed;Latency
net31 tests
ClientPerThread: False
Parallelism: 1000
IsServerGC: True
Grpc.Net.Client
;12989;30009;76,514
;15228;30007;65,682
;15395;30009;64,953
;14403;30001;69,422
;13709;30011;72,948
;13842;30013;72,246
Grpc.Core
;14901;30009;67,016
;15971;30005;62,607
;14349;30002;69,686
;13739;30012;72,787
;13755;30014;72,695
;13687;30001;73,068
Raw HttpMessageInvoker
;14902;30008;66,997
;15374;30015;65,041
;14132;30000;70,756
;14106;30010;70,887
;14102;30014;70,918
;14275;30010;70,053
HttpClient+HTTP/1.1
;36558;30001;26,483
;35975;30049;27,794
;34589;30003;28,913
;40069;30015;24,958
;44889;30014;22,275
;41555;30030;24,063
HttpClient+HTTP/2
;30255;30034;33,008
;31712;30040;31,547
;38530;30036;25,960
;40166;30011;24,879
;36427;30022;27,459
;35016;30009;28,567

net31 tests
ClientPerThread: True
Parallelism: 1000
IsServerGC: True
Grpc.Net.Client
;23740;30065;41,650
;30217;30001;33,064
;30516;30035;32,783
;25766;30056;38,788
;25534;30131;39,161
;27465;30147;36,408
Grpc.Core
;31477;30019;31,663
;28841;30045;34,669
;25598;30029;39,083
;26066;30005;38,340
;27210;30073;36,746
;30670;30066;32,496
Raw HttpMessageInvoker
;28782;30026;34,479
;24115;30005;41,435
;25449;30037;39,324
;27288;30054;36,657
;31670;30038;31,581
;29916;30013;33,437
HttpClient+HTTP/1.1
;29642;30086;32,877
;27743;30038;36,040
;31158;30015;32,101
;34632;30033;28,875
;32538;30022;30,735
;28685;30034;34,864
HttpClient+HTTP/2
;29069;30073;33,962
;31361;30037;31,892
;34121;30054;29,302
;31737;30020;31,512
;29693;30037;33,681
;29837;30002;33,521

net50 tests
ClientPerThread: False
Parallelism: 1000
IsServerGC: True
Grpc.Net.Client
;31891;30011;31,146
;38158;30004;26,212
;35869;30004;27,879
;31873;30011;31,372
;31559;30052;31,583
;35831;30016;27,995
Grpc.Core
;39419;30010;25,352
;33019;30010;30,264
;31705;30005;31,565
;32262;30000;30,996
;36428;30008;27,451
;38463;30007;26,001
Raw HttpMessageInvoker
;37377;30014;26,726
;35265;30012;28,356
;36931;30006;27,078
;41137;30053;24,238
;39857;30011;25,160
;35624;30015;28,072
HttpClient+HTTP/1.1
;31162;30080;31,654
;33529;30028;29,826
;38032;30064;26,299
;39096;30023;25,575
;32927;30021;30,370
;33168;30141;30,142
HttpClient+HTTP/2
;33759;30004;29,593
;36074;30008;27,721
;39088;30007;25,575
;34088;30011;29,331
;32955;30010;30,342
;37288;30014;26,826

net50 tests
ClientPerThread: True
Parallelism: 1000
IsServerGC: True
Grpc.Net.Client
;35038;30046;28,280
;32618;30036;30,651
;30208;30046;33,108
;30697;30030;32,586
;34444;30049;29,021
;35888;30034;27,861
Grpc.Core
;31899;30037;31,250
;30093;30019;33,222
;33080;30027;30,227
;34730;30067;28,795
;31182;30031;32,066
;29439;30064;33,812
Raw HttpMessageInvoker
;32201;30041;30,655
;34982;30039;28,580
;34275;30039;29,193
;34816;30055;28,714
;30682;30014;32,592
;32559;30057;30,703
HttpClient+HTTP/1.1
;36062;30036;27,206
;38313;30004;26,101
;33806;30050;29,579
;31708;30075;31,524
;32033;30053;31,186
;32421;30039;30,846
HttpClient+HTTP/2
;37577;30066;26,358
;34340;30017;29,119
;32376;30007;30,864
;34351;30040;29,124
;39199;30087;25,519
;37609;30024;26,593
